2026-03-02 19:52:22,240 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Video/test.mp4 | reason=already_in_destination
2026-03-02 19:52:22,240 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Images/test.gif | reason=already_in_destination
2026-03-02 19:52:22,241 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Images/view.jpeg | reason=already_in_destination
2026-03-02 19:52:22,241 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Spreadsheets/test.csv | reason=already_in_destination
2026-03-02 19:52:22,241 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (1) (1) | reason=already_in_destination
2026-03-02 19:52:22,241 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (9) | reason=already_in_destination
2026-03-02 19:52:22,241 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (3) | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/smart_file_organizer.log | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (4) | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (7) | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (10) | reason=already_in_destination
2026-03-02 19:52:22,242 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (6) | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (5) | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (1) | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (8) | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Other/.DS_Store (2) | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Audio/test.mp3 | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Audio/test (1).mp3 | reason=already_in_destination
2026-03-02 19:52:22,243 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Presentations/test.ppt | reason=already_in_destination
2026-03-02 19:52:22,244 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Documents/test.docx | reason=already_in_destination
2026-03-02 19:52:22,244 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Documents/test.pdf | reason=already_in_destination
2026-03-02 19:52:22,244 | INFO | SKIPPED | /Users/lampis/Documents/GitHub/Smart-File-Organizer/Test/Documents/test.txt | reason=already_in_destination
